time	V(n005)	V(n006)
4.750164338646935e-03	1.438348e+01	1.499234e+01
4.750179259135813e-03	1.438587e+01	1.499235e+01
4.750192561763859e-03	1.438783e+01	1.499236e+01
4.750206792996817e-03	1.438977e+01	1.499237e+01
4.750221207250114e-03	1.439160e+01	1.499238e+01
4.750236553125625e-03	1.439341e+01	1.499239e+01
4.750252852242239e-03	1.439521e+01	1.499240e+01
4.750270117139341e-03	1.439698e+01	1.499240e+01
4.750288219366744e-03	1.439872e+01	1.499241e+01
4.750307749182090e-03	1.440048e+01	1.499242e+01
4.750331180625140e-03	1.440244e+01	1.499242e+01
4.750348485845962e-03	1.440381e+01	1.499243e+01
4.750366450357014e-03	1.440515e+01	1.499243e+01
4.750387719398291e-03	1.440664e+01	1.499244e+01
4.750409804853812e-03	1.440811e+01	1.499244e+01
4.750436972743293e-03	1.440981e+01	1.499244e+01
4.750470588017586e-03	1.441174e+01	1.499245e+01
4.750532349768916e-03	1.441498e+01	1.499245e+01
4.750590581975827e-03	1.441773e+01	1.499246e+01
4.750654696335213e-03	1.442043e+01	1.499246e+01
4.750742079188521e-03	1.442365e+01	1.499247e+01
4.750916844895136e-03	1.442914e+01	1.499247e+01
4.751095051089720e-03	1.443373e+01	1.499248e+01
4.751451463478887e-03	1.444083e+01	1.499249e+01
4.752079152903907e-03	1.445025e+01	1.499249e+01
4.752786492058694e-03	1.445789e+01	1.499249e+01
4.754127209759126e-03	1.446822e+01	1.499250e+01
4.755338952360151e-03	1.447507e+01	1.499250e+01
4.757270244572071e-03	1.448306e+01	1.499250e+01
4.759309252082147e-03	1.448941e+01	1.499250e+01
4.763035906367753e-03	1.449830e+01	1.499250e+01
4.765151685228807e-03	1.450242e+01	1.499250e+01
4.766384342462572e-03	1.450446e+01	1.499250e+01
4.767757848167957e-03	1.450654e+01	1.499250e+01
4.768508286056032e-03	1.450762e+01	1.499250e+01
4.769275761540620e-03	1.450867e+01	1.499250e+01
4.769342955361240e-03	1.450876e+01	1.499250e+01
4.769477343002480e-03	1.450893e+01	1.499250e+01
4.769746118284960e-03	1.450928e+01	1.499250e+01
4.770165709592566e-03	1.450982e+01	1.499250e+01
4.770493089972646e-03	1.451024e+01	1.499250e+01
4.771508483853107e-03	1.451148e+01	1.499250e+01
4.771897928526783e-03	1.451194e+01	1.499250e+01
4.772282847062663e-03	1.451239e+01	1.499250e+01
4.772722430198199e-03	1.451289e+01	1.499250e+01
4.773178488658984e-03	1.451340e+01	1.499250e+01
4.773252947645169e-03	1.451348e+01	1.499250e+01
4.773401865617539e-03	1.451365e+01	1.499250e+01
4.773699701562280e-03	1.451397e+01	1.499250e+01
4.773765892569649e-03	1.451404e+01	1.499250e+01
4.773898274584388e-03	1.451418e+01	1.499250e+01
4.773931370088073e-03	1.451422e+01	1.499250e+01
4.774129943110180e-03	1.451443e+01	1.499250e+01
4.774394707139657e-03	1.451471e+01	1.499250e+01
4.774701921334384e-03	1.451503e+01	1.499250e+01
