time	V(in)	V(out)
2.941266530988475e-05	5.567834e+00	3.173952e-01
2.946797759132150e-05	5.573531e+00	3.218007e-01
2.946864262878003e-05	5.573598e+00	3.234597e-01
2.946997270369708e-05	5.573731e+00	3.320463e-01
2.947263285353120e-05	5.573997e+00	3.645850e-01
2.947795315319944e-05	5.574528e+00	4.977986e-01
2.948307660150656e-05	5.575036e+00	7.848552e-01
2.948811303952145e-05	5.575532e+00	1.419505e+00
2.949333974514526e-05	5.576046e+00	2.730552e+00
2.949866123273176e-05	5.576565e+00	4.903481e+00
2.950670240001700e-05	5.577345e+00	8.905714e+00
2.951164450387426e-05	5.577822e+00	1.108744e+01
2.951665986855008e-05	5.578303e+00	1.258748e+01
2.952194995179708e-05	5.578807e+00	1.349989e+01
2.952588753161536e-05	5.579182e+00	1.385979e+01
2.953012560508977e-05	5.579582e+00	1.405401e+01
2.953471639516038e-05	5.580015e+00	1.416179e+01
2.954026168120596e-05	5.580534e+00	1.422288e+01
2.954670095716951e-05	5.581133e+00	1.425303e+01
2.955520519893165e-05	5.581919e+00	1.426743e+01
2.956684351639782e-05	5.582982e+00	1.427326e+01
2.958493323296770e-05	5.584609e+00	1.427522e+01
2.961401907774889e-05	5.587159e+00	1.427580e+01
2.966988460727961e-05	5.591825e+00	1.427618e+01
2.976754085727961e-05	5.599253e+00	1.427675e+01
2.986519710727960e-05	5.605748e+00	1.427726e+01
2.996285335727960e-05	5.611305e+00	1.427770e+01
3.006050960727960e-05	5.615921e+00	1.427807e+01
3.015816585727960e-05	5.619595e+00	1.427836e+01
3.025582210727960e-05	5.622322e+00	1.427858e+01
3.035347835727960e-05	5.624102e+00	1.427873e+01
3.045113460727960e-05	5.624933e+00	1.427881e+01
3.054879085727960e-05	5.624815e+00	1.427881e+01
3.064644710727960e-05	5.623747e+00	1.427874e+01
3.074410335727961e-05	5.621732e+00	1.427859e+01
3.093941585727961e-05	5.614860e+00	1.427809e+01
3.123238460727962e-05	5.597491e+00	1.427679e+01
3.144164800013677e-05	5.579739e+00	1.427545e+01
3.165091139299391e-05	5.557954e+00	1.427380e+01
3.186017478585107e-05	5.532135e+00	1.427184e+01
3.206943817870822e-05	5.502283e+00	1.426956e+01
3.227870157156537e-05	5.468396e+00	1.426698e+01
3.248796496442251e-05	5.430476e+00	1.426408e+01
3.269722835727966e-05	5.388522e+00	1.426088e+01
3.311575514299396e-05	5.290555e+00	1.425339e+01
3.353428192870826e-05	5.182533e+00	1.424512e+01
3.395280871442255e-05	5.064456e+00	1.423607e+01
3.437133550013685e-05	4.936326e+00	1.422624e+01
3.478986228585115e-05	4.798141e+00	1.421564e+01
3.520838907156545e-05	4.649902e+00	1.420426e+01
3.562691585727975e-05	4.491609e+00	1.419210e+01
3.612914800013690e-05	4.292961e+00	1.417683e+01
3.663138014299406e-05	4.099348e+00	1.416194e+01
3.713361228585122e-05	3.910770e+00	1.414744e+01
3.763584442870838e-05	3.727225e+00	1.413331e+01
3.813807657156553e-05	3.548716e+00	1.411956e+01
3.864030871442269e-05	3.375241e+00	1.410619e+01
3.914254085727985e-05	3.206800e+00	1.409320e+01
3.936575514299414e-05	3.139672e+00	1.408802e+01
3.958896942870843e-05	3.076289e+00	1.408313e+01
3.981218371442272e-05	3.016649e+00	1.407852e+01
4.003539800013702e-05	2.960754e+00	1.407420e+01
4.025861228585131e-05	2.908604e+00	1.407017e+01
4.048182657156560e-05	2.860197e+00	1.406642e+01
4.070504085727989e-05	2.815535e+00	1.406295e+01
4.071724788852989e-05	2.813241e+00	1.406277e+01
4.074166195102989e-05	2.808691e+00	1.406242e+01
4.078633032149807e-05	2.800502e+00	1.406179e+01
4.081579596186931e-05	2.795196e+00	1.406138e+01
4.085317970522653e-05	2.788574e+00	1.406086e+01
4.085844808523352e-05	2.787651e+00	1.406079e+01
4.086898484524750e-05	2.785812e+00	1.406065e+01
4.087161903525099e-05	2.785354e+00	1.406061e+01
4.087688741525798e-05	2.784439e+00	1.405535e+01
4.088626298924154e-05	2.782818e+00	1.389580e+01
4.089012753788501e-05	2.782151e+00	1.321981e+01
4.089247208593284e-05	2.781748e+00	1.141167e+01
4.089423596671496e-05	2.781445e+00	8.230752e+00
4.089600840256233e-05	2.781141e+00	3.802527e+00
4.089679106454180e-05	2.781006e+00	2.102368e+00
4.089740315172472e-05	2.780901e+00	1.302527e+00
4.089795446085370e-05	2.780807e+00	9.277881e-01
4.089844364500080e-05	2.780723e+00	7.415042e-01
4.089898959071496e-05	2.780629e+00	6.114789e-01
4.089962960357929e-05	2.780519e+00	5.114532e-01
4.090052353731895e-05	2.780366e+00	4.233563e-01
4.090155655675150e-05	2.780190e+00	3.641233e-01
4.090281388511190e-05	2.779974e+00	3.297961e-01
4.090431825250077e-05	2.779717e+00	3.167102e-01
4.090601620890433e-05	2.779427e+00	3.146291e-01
4.090782921809040e-05	2.779118e+00	3.145057e-01
4.091120510874486e-05	2.778542e+00	3.143138e-01
4.091795689005377e-05	2.777394e+00	3.140868e-01
4.092716877136233e-05	2.775835e+00	3.139212e-01
4.093802849400159e-05	2.774006e+00	3.138442e-01
4.095179037874174e-05	2.771704e+00	3.138122e-01
4.096793452708602e-05	2.769025e+00	3.138020e-01
4.098520988020127e-05	2.766184e+00	3.137975e-01
4.101562246329928e-05	2.761248e+00	3.137936e-01
4.106979650886680e-05	2.752664e+00	3.137854e-01
4.130696168743823e-05	2.718057e+00	3.137540e-01
4.154412686600967e-05	2.688911e+00	3.137275e-01
4.178129204458110e-05	2.665228e+00	3.137059e-01
4.201845722315254e-05	2.647006e+00	3.136892e-01
4.225562240172398e-05	2.634245e+00	3.136774e-01
4.249278758029541e-05	2.626947e+00	3.136706e-01
4.272995275886685e-05	2.625110e+00	3.136687e-01
4.298106883029543e-05	2.629632e+00	3.136725e-01
4.323218490172401e-05	2.640224e+00	3.136819e-01
4.348330097315259e-05	2.656886e+00	3.136968e-01
4.373441704458116e-05	2.679618e+00	3.137172e-01
4.398553311600974e-05	2.708419e+00	3.137430e-01
4.423664918743832e-05	2.743290e+00	3.137744e-01
4.448776525886690e-05	2.784231e+00	3.138113e-01
4.486443936600976e-05	2.858042e+00	3.138778e-01
4.524111347315264e-05	2.941540e+00	3.139532e-01
4.561778758029550e-05	3.034724e+00	3.140373e-01
4.599446168743837e-05	3.137595e+00	3.141303e-01
4.637113579458124e-05	3.250153e+00	3.142320e-01
4.674780990172411e-05	3.372397e+00	3.143425e-01
4.712448400886697e-05	3.504328e+00	3.144619e-01
4.761276525886699e-05	3.687908e+00	3.146280e-01
4.810104650886700e-05	3.871170e+00	3.147938e-01
4.858932775886702e-05	4.054114e+00	3.149595e-01
4.907760900886703e-05	4.236741e+00	3.151249e-01
4.956589025886704e-05	4.419049e+00	3.152901e-01
5.005417150886706e-05	4.601040e+00	3.154550e-01
5.054245275886707e-05	4.782712e+00	3.156197e-01
5.091912686600994e-05	4.912716e+00	3.157377e-01
5.129580097315281e-05	5.032762e+00	3.158466e-01
5.167247508029568e-05	5.142850e+00	3.159465e-01
5.204914918743854e-05	5.242981e+00	3.160374e-01
5.242582329458141e-05	5.333153e+00	3.161194e-01
5.280249740172428e-05	5.413368e+00	3.161923e-01
5.317917150886715e-05	5.483626e+00	3.162562e-01
5.374627371285628e-05	5.561696e+00	3.163276e-01
5.380510131622108e-05	5.568065e+00	3.274563e-01
5.386504924887017e-05	5.574214e+00	3.654826e-01
5.386574760786608e-05	5.574284e+00	3.711292e-01
5.386714432585790e-05	5.574423e+00	3.969911e-01
5.386993776184154e-05	5.574700e+00	4.852210e-01
5.387552463380882e-05	5.575253e+00	8.315622e-01
5.388061927378610e-05	5.575755e+00	1.508733e+00
5.388566756896389e-05	5.576250e+00	2.841599e+00
5.389115212811961e-05	5.576784e+00	5.144595e+00
5.389807312706588e-05	5.577454e+00	8.645129e+00
5.390283084009478e-05	5.577912e+00	1.080466e+01
5.390799985312017e-05	5.578408e+00	1.243304e+01
5.391340743744512e-05	5.578923e+00	1.344258e+01
5.391710128468406e-05	5.579273e+00	1.381364e+01
5.392114532447697e-05	5.579656e+00	1.402065e+01
5.392575865609375e-05	5.580090e+00	1.414499e+01
5.393115056307503e-05	5.580594e+00	1.421452e+01
5.393737770302121e-05	5.581173e+00	1.424887e+01
5.394534389964638e-05	5.581909e+00	1.426532e+01
5.395619359502337e-05	5.582901e+00	1.427242e+01
5.397276635915652e-05	5.584394e+00	1.427500e+01
5.399998442980561e-05	5.586789e+00	1.427574e+01
5.404995107477109e-05	5.590998e+00	1.427611e+01
5.414681280359013e-05	5.598465e+00	1.427669e+01
5.424446905359014e-05	5.605064e+00	1.427721e+01
5.434212530359014e-05	5.610727e+00	1.427765e+01
5.443978155359014e-05	5.615450e+00	1.427803e+01
5.453743780359014e-05	5.619229e+00	1.427833e+01
5.463509405359015e-05	5.622063e+00	1.427856e+01
5.473275030359015e-05	5.623950e+00	1.427872e+01
5.483040655359015e-05	5.624887e+00	1.427880e+01
