time	V(v_osc2)	V(n007)
2.282889288671012e-05	2.899424e-01	-1.360543e+01
2.383845028769087e-05	2.900977e-01	-1.360543e+01
2.515245606861629e-05	2.902896e-01	-1.360543e+01
2.654897319080270e-05	2.904834e-01	-1.360543e+01
2.737563544718124e-05	2.905923e-01	-1.360543e+01
2.834550434238604e-05	2.907146e-01	-1.360543e+01
2.897050921659928e-05	2.907908e-01	-1.360543e+01
2.958647252627543e-05	2.908635e-01	-1.360543e+01
3.005789310405581e-05	2.909180e-01	-1.360543e+01
3.040845604922839e-05	2.909577e-01	-1.360543e+01
3.049609678552154e-05	2.909675e-01	-1.360543e+01
3.067137825810783e-05	2.909870e-01	-1.360543e+01
3.074353754877540e-05	2.909950e-01	-1.360543e+01
3.080972412438984e-05	2.910023e-01	-1.360543e+01
3.084081007394927e-05	2.910057e-01	-1.360543e+01
3.093205515545621e-05	2.910157e-01	-1.360543e+01
3.096989207826471e-05	2.910199e-01	-1.360543e+01
3.102566532236788e-05	2.910259e-01	-1.360543e+01
3.108628924889167e-05	2.910325e-01	-1.360543e+01
3.120753710193925e-05	2.910456e-01	-1.360543e+01
3.145003280803443e-05	2.910716e-01	-1.360543e+01
3.193502422022476e-05	2.911227e-01	-1.360543e+01
3.243577970462396e-05	2.911744e-01	-1.360543e+01
3.296145846750059e-05	2.912274e-01	-1.360543e+01
3.361710050931635e-05	2.912917e-01	-1.360543e+01
3.437421684485419e-05	2.913642e-01	-1.360543e+01
3.448285314547033e-05	2.913744e-01	-1.360543e+01
3.470012574670262e-05	2.913946e-01	-1.360543e+01
3.475444389701070e-05	2.913996e-01	-1.360543e+01
3.508035279885914e-05	2.914292e-01	-1.360543e+01
3.551489800132373e-05	2.914679e-01	-1.360543e+01
3.638398840625292e-05	2.915427e-01	-1.360543e+01
3.798197017634811e-05	2.916735e-01	-1.360543e+01
3.952260872904294e-05	2.917921e-01	-1.360543e+01
4.091387662304624e-05	2.918923e-01	-1.360543e+01
4.230710237444445e-05	2.919867e-01	-1.360543e+01
4.325304686590404e-05	2.920474e-01	-1.360543e+01
4.430973202067879e-05	2.921118e-01	-1.360543e+01
4.536724245547003e-05	2.921732e-01	-1.360543e+01
4.673716062470142e-05	2.922482e-01	-1.360543e+01
4.839085268742418e-05	2.923330e-01	-1.360543e+01
5.009443217351521e-05	2.924143e-01	-1.360543e+01
5.171679723802454e-05	2.924861e-01	-1.360543e+01
5.348511826450865e-05	2.925584e-01	-1.360544e+01
5.526120715145783e-05	2.926255e-01	-1.360544e+01
5.701147052285929e-05	2.926865e-01	-1.360544e+01
5.894188631223667e-05	2.927483e-01	-1.360544e+01
6.089169567016694e-05	2.928057e-01	-1.360544e+01
6.270020219937760e-05	2.928545e-01	-1.360544e+01
6.462137035902037e-05	2.929022e-01	-1.360544e+01
6.639326809404081e-05	2.929425e-01	-1.360544e+01
6.838780198354180e-05	2.929842e-01	-1.360544e+01
7.021968791950303e-05	2.930194e-01	-1.360544e+01
7.213998954186205e-05	2.930532e-01	-1.360544e+01
