time	V(integrateur)	V(osc_1)	V(out)
1.209036763313177e-04	5.480627e+00	1.347692e+01	1.306285e+01
1.211251600496416e-04	5.443375e+00	1.347692e+01	1.306022e+01
1.214031009018277e-04	5.396662e+00	1.347691e+01	1.305694e+01
1.219589826062014e-04	5.303314e+00	1.347691e+01	1.305036e+01
1.225364727124711e-04	5.206456e+00	1.347690e+01	1.304354e+01
1.234003891465996e-04	5.061788e+00	1.347689e+01	1.303335e+01
1.262500446763942e-04	4.586710e+00	1.347687e+01	1.299989e+01
1.312900446763954e-04	3.753051e+00	1.347682e+01	1.294117e+01
1.341250446763968e-04	3.287430e+00	1.347680e+01	1.290838e+01
1.354637946763982e-04	3.068771e+00	1.347678e+01	1.289298e+01
1.355756925760301e-04	3.050523e+00	1.347678e+01	1.289169e+01
1.356492993378998e-04	3.038522e+00	1.347678e+01	1.289085e+01
1.357251818368682e-04	3.026151e+00	1.347678e+01	1.288997e+01
1.357331190714323e-04	3.024858e+00	1.347678e+01	1.288988e+01
1.357489935405586e-04	3.022270e+00	1.347678e+01	1.288972e+01
1.357494896177189e-04	3.022189e+00	1.347678e+01	1.288972e+01
1.357504817720394e-04	3.022028e+00	1.347678e+01	1.288973e+01
1.357524660806804e-04	3.021699e+00	1.347678e+01	1.288935e+01
1.357564346979624e-04	3.020960e+00	1.347678e+01	1.288333e+01
1.357592557789077e-04	3.019971e+00	1.347678e+01	1.284886e+01
1.357615535108603e-04	3.017299e+00	1.347678e+01	1.269831e+01
1.357633856225240e-04	3.010158e+00	1.347678e+01	1.224935e+01
1.357648540747623e-04	2.994417e+00	1.347678e+01	1.123598e+01
1.357661770800666e-04	2.964479e+00	1.347678e+01	9.316156e+00
1.357674198445014e-04	2.920339e+00	1.347678e+01	6.551845e+00
1.357685811615942e-04	2.871761e+00	1.347678e+01	3.638972e+00
1.357692364307560e-04	2.847337e+00	1.347678e+01	2.302991e+00
1.357699936813273e-04	2.826522e+00	1.347678e+01	1.351031e+00
1.357706475483226e-04	2.813625e+00	1.347678e+01	9.030056e-01
1.357711387467569e-04	2.806234e+00	1.347678e+01	7.239832e-01
1.357717284297590e-04	2.798766e+00	1.347678e+01	5.924963e-01
1.357723779623725e-04	2.791609e+00	1.347678e+01	4.978918e-01
1.357733807329040e-04	2.782050e+00	1.347678e+01	4.077059e-01
1.357743980514199e-04	2.773788e+00	1.347678e+01	3.556594e-01
1.357757393597760e-04	2.764803e+00	1.347678e+01	3.251601e-01
1.357772752860632e-04	2.756554e+00	1.347678e+01	3.151051e-01
1.357790095658142e-04	2.749379e+00	1.347678e+01	3.139792e-01
1.357808606483654e-04	2.744196e+00	1.347678e+01	3.138468e-01
1.357845628134676e-04	2.740120e+00	1.347678e+01	3.136342e-01
1.357919671436721e-04	2.745692e+00	1.347678e+01	3.133993e-01
1.358014482398667e-04	2.768668e+00	1.347678e+01	3.132744e-01
1.358129020749433e-04	2.809237e+00	1.347678e+01	3.132707e-01
1.358268922376227e-04	2.863573e+00	1.347678e+01	3.133433e-01
1.358442230759323e-04	2.925585e+00	1.347678e+01	3.134573e-01
1.358624236449339e-04	2.977416e+00	1.347678e+01	3.135613e-01
1.358816059496143e-04	3.015082e+00	1.347678e+01	3.136401e-01
1.359010764806819e-04	3.037505e+00	1.347678e+01	3.136874e-01
1.359233210109119e-04	3.050035e+00	1.347678e+01	3.137130e-01
1.359401042753273e-04	3.053821e+00	1.347678e+01	3.137206e-01
1.359498206934054e-04	3.054407e+00	1.347678e+01	3.137194e-01
1.359580079702809e-04	3.054432e+00	1.347678e+01	3.137180e-01
1.359671829538646e-04	3.054340e+00	1.347678e+01	3.137162e-01
