time	V(n002)	V(n004)
1.060885733135330e-02	1.347736e+01	3.132933e-01
1.061226696119779e-02	1.347732e+01	3.139638e-01
1.061567659104228e-02	1.347728e+01	3.146342e-01
1.061908622088677e-02	1.347724e+01	3.153045e-01
1.062249585073126e-02	1.347721e+01	3.159748e-01
1.062257959122103e-02	1.347721e+01	3.166333e-01
1.062258540280011e-02	1.347721e+01	3.442294e-01
1.062259702595827e-02	1.347721e+01	5.739686e-01
1.062260338287646e-02	1.347721e+01	9.906588e-01
1.062260882660415e-02	1.347721e+01	1.846766e+00
1.062261332211136e-02	1.347721e+01	3.142673e+00
1.062261763545737e-02	1.347721e+01	4.962020e+00
1.062262223917843e-02	1.347721e+01	7.209446e+00
1.062262728536218e-02	1.347721e+01	9.438519e+00
1.062263338132817e-02	1.347721e+01	1.134198e+01
1.062263930945064e-02	1.347721e+01	1.239667e+01
1.062264367363849e-02	1.347721e+01	1.276448e+01
1.062264897252554e-02	1.347721e+01	1.295553e+01
1.062265482575206e-02	1.347721e+01	1.304470e+01
1.062266281840469e-02	1.347721e+01	1.308550e+01
1.062267268023685e-02	1.347721e+01	1.309725e+01
1.062268833939400e-02	1.347720e+01	1.309480e+01
1.062270659814230e-02	1.347720e+01	1.308662e+01
1.062272612499707e-02	1.347720e+01	1.307845e+01
1.062274482476825e-02	1.347720e+01	1.307296e+01
1.062276482865328e-02	1.347720e+01	1.306958e+01
1.062278798564901e-02	1.347720e+01	1.306778e+01
1.062280074312112e-02	1.347720e+01	1.306747e+01
1.062280870948312e-02	1.347720e+01	1.306751e+01
1.062281891729378e-02	1.347720e+01	1.306767e+01
1.062282855430986e-02	1.347720e+01	1.306786e+01
1.062283883904899e-02	1.347720e+01	1.306808e+01
1.062284977017774e-02	1.347720e+01	1.306830e+01
1.062286098452274e-02	1.347720e+01	1.306847e+01
1.062287380329477e-02	1.347720e+01	1.306860e+01
1.062289014771001e-02	1.347720e+01	1.306866e+01
1.062291480639917e-02	1.347720e+01	1.306856e+01
1.062295695860047e-02	1.347720e+01	1.306814e+01
1.062299283207267e-02	1.347720e+01	1.306768e+01
1.062303516979941e-02	1.347720e+01	1.306711e+01
1.062307431119470e-02	1.347720e+01	1.306662e+01
1.062314021304739e-02	1.347720e+01	1.306584e+01
1.062322893992307e-02	1.347720e+01	1.306480e+01
1.062333015074573e-02	1.347720e+01	1.306360e+01
1.062351426685195e-02	1.347720e+01	1.306142e+01
1.062378750318909e-02	1.347719e+01	1.305818e+01
1.062433397586337e-02	1.347719e+01	1.305172e+01
1.062488924633348e-02	1.347718e+01	1.304516e+01
1.062570665390798e-02	1.347717e+01	1.303551e+01
1.062835003782161e-02	1.347714e+01	1.300445e+01
1.063804699664901e-02	1.347704e+01	1.289192e+01
1.063808774017350e-02	1.347704e+01	1.289145e+01
1.063814166948409e-02	1.347704e+01	1.289083e+01
1.063819667382663e-02	1.347704e+01	1.289020e+01
1.063820707709354e-02	1.347704e+01	1.289008e+01
1.063822788362736e-02	1.347704e+01	1.288985e+01
1.063823308526081e-02	1.347704e+01	1.288979e+01
1.063824348852772e-02	1.347704e+01	1.288967e+01
1.063824608934445e-02	1.347704e+01	1.288964e+01
1.063825129097791e-02	1.347704e+01	1.286692e+01
1.063826169424482e-02	1.347704e+01	1.218965e+01
1.063826567477580e-02	1.347704e+01	1.007031e+01
1.063826823714242e-02	1.347704e+01	6.293036e+00
1.063827015957092e-02	1.347704e+01	2.429103e+00
1.063827091391546e-02	1.347704e+01	1.342589e+00
1.063827175993686e-02	1.347704e+01	7.964714e-01
1.063827212803735e-02	1.347704e+01	6.778373e-01
1.063827271464994e-02	1.347704e+01	5.650847e-01
1.063827331176204e-02	1.347704e+01	4.851258e-01
