time	V(v_controle)	V(v_integrateur)
1.075102676806835e-02	2.848885e-01	1.737613e-01
1.075270530321086e-02	2.848885e-01	1.753752e-01
1.075601610414215e-02	2.848885e-01	1.785586e-01
1.075603872552480e-02	2.848885e-01	1.785804e-01
1.075656594223867e-02	2.848885e-01	1.790873e-01
1.075709315895254e-02	2.848885e-01	1.795942e-01
1.075762037566641e-02	2.848885e-01	1.801011e-01
1.075814759238029e-02	2.848885e-01	1.806081e-01
1.075867480909416e-02	2.848885e-01	1.811150e-01
1.075920202580803e-02	2.848885e-01	1.816219e-01
1.075972924252190e-02	2.848885e-01	1.821289e-01
1.076033678822721e-02	2.848885e-01	1.827130e-01
1.076039649914569e-02	2.848885e-01	1.827704e-01
1.076045598722443e-02	2.848885e-01	1.828276e-01
1.076045656170568e-02	2.848885e-01	1.828282e-01
1.076045771066816e-02	2.848885e-01	1.828293e-01
1.076046000859313e-02	2.848885e-01	1.828315e-01
1.076046460444308e-02	2.848885e-01	1.828359e-01
1.076046941754950e-02	2.848885e-01	1.828406e-01
1.076047467601225e-02	2.848885e-01	1.828456e-01
1.076047896498397e-02	2.848885e-01	1.828497e-01
1.076048316229664e-02	2.848885e-01	1.828538e-01
1.076048760778315e-02	2.848885e-01	1.828580e-01
1.076049298493050e-02	2.848885e-01	1.828632e-01
1.076049903949468e-02	2.848885e-01	1.828690e-01
1.076050485095405e-02	2.848885e-01	1.828746e-01
1.076050930959818e-02	2.848885e-01	1.828789e-01
1.076051452706012e-02	2.848885e-01	1.828839e-01
1.076052035589826e-02	2.848885e-01	1.828895e-01
1.076052801555681e-02	2.848885e-01	1.828969e-01
1.076053762654856e-02	2.848885e-01	1.829061e-01
1.076055239769703e-02	2.848885e-01	1.829203e-01
1.076057014473818e-02	2.848885e-01	1.829374e-01
1.076058983961417e-02	2.848885e-01	1.829563e-01
1.076060846557143e-02	2.848885e-01	1.829742e-01
1.076062838158087e-02	2.848885e-01	1.829934e-01
