;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
349,-0.02851,1.83741,0.0334074
350,-0.0285,1.85411,0.0334074
351,-0.02849,1.85411,0.0334074
352,-0.02848,1.87082,0.0334074
353,-0.02847,1.87082,0.0334074
354,-0.02846,1.88752,0.0334074
355,-0.02845,1.88752,0.0334074
356,-0.02844,1.90422,0.0334074
357,-0.02843,1.90422,0.0334074
358,-0.02842,1.92093,0.0334074
359,-0.02841,1.92093,0.0334074
360,-0.0284,1.93763,0.0334074
361,-0.02839,1.93763,0.0334074
362,-0.02838,1.98774,0.0334074
363,-0.02837,1.98774,0.0334074
364,-0.02836,1.98774,0.0334074
365,-0.02835,2.00445,0.0334074
366,-0.02834,2.00445,0.0334074
367,-0.02833,2.00445,0.0334074
368,-0.02832,2.02115,0.0334074
369,-0.02831,2.02115,0.0334074
370,-0.0283,2.03785,0.0334074
371,-0.02829,2.03785,0.0334074
372,-0.02828,2.05456,0.0334074
373,-0.02827,2.05456,0.0334074
374,-0.02826,2.07126,0.0334074
375,-0.02825,2.07126,0.0334074
376,-0.02824,2.08797,0.0334074
377,-0.02823,2.08797,0.0334074
378,-0.02822,2.12137,0.0334074
379,-0.02821,2.12137,0.0334074
380,-0.0282,2.12137,0.0334074
381,-0.02819,2.13808,0.0334074
382,-0.02818,2.13808,0.0334074
383,-0.02817,2.15478,0.0334074
384,-0.02816,2.15478,0.0334074
385,-0.02815,2.17148,0.0334074
386,-0.02814,2.17148,0.0334074
387,-0.02813,2.18819,0.0334074
388,-0.02812,2.18819,0.0334074
389,-0.02811,2.2383,0.0334074
390,-0.0281,2.2383,0.0334074
391,-0.02809,2.2383,0.0334074
392,-0.02808,2.2383,0.0334074
393,-0.02807,2.255,0.0334074
394,-0.02806,2.255,0.0334074
395,-0.02805,2.27171,0.0334074
396,-0.02804,2.27171,0.0334074
397,-0.02803,2.28841,0.0334074
398,-0.02802,2.28841,0.0334074
399,-0.02801,2.28841,0.0334074
400,-0.028,2.30511,0.0334074
401,-0.02799,2.30511,0.0334074
402,-0.02798,2.33852,0.0334074
403,-0.02797,2.32182,0.0334074
404,-0.02796,2.35522,0.0334074
405,-0.02795,2.35522,0.0334074
406,-0.02794,2.35522,0.0334074
407,-0.02793,2.38863,0.0334074
408,-0.02792,2.37193,0.0334074
